Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav
1953.125,44.9683,30.8634,35.4309,34.9453,22.4456,26.1094,17.2103,19.3389,28.1466,28.9548,24.1274,33.1494,34.972,40.8386,34.2086,32.7153,32.0731,38.5259,36.8002,38.711,31.2939
1968.75,18.0016,24.889,18.7891,25.9982,32.1808,29.9085,38.4645,31.4982,38.4433,24.6076,32.5004,26.5138,27.7965,33.7405,24.9699,28.3053,31.0855,27.9463,31.1397,17.246,26.9834
1984.375,31.8742,27.0456,37.9758,27.3297,12.3666,23.7541,26.0421,21.0515,23.3028,39.8641,20.0376,24.5878,23.23,15.4534,25.8005,15.2074,22.2451,27.0865,29.8074,32.887,36.957
2000,16.4123,25.1502,21.2681,22.833,33.6284,33.286,15.0359,27.818,23.1254,19.943,32.5997,21.0266,22.5321,33.4078,32.8533,40.2297,34.4244,25.1317,21.4436,24.0283,9.0845
2015.625,18.4076,18.059,23.6877,27.0089,18.7463,14.725,22.3755,24.6236,29.1831,17.3021,15.017,28.5512,25.2287,18.6939,13.7493,5.1322,5.068,17.9478,16.4514,20.4307,25.3755
2031.25,14.7853,5.2816,12.8544,5.2111,10.957,18.6085,13.0004,18.0881,10.0747,24.8893,26.6664,6.6415,17.7475,14.5129,23.2959,30.9956,29.7381,13.8577,16.2967,9.2222,11.1924
2046.875,18.4533,22.5005,20.4829,20.2845,31.7187,29.9983,17.0127,12.4545,13.8265,8.2744,44.9182,23.8551,23.0432,17.6003,11.6664,29.5759,20.8646,14.7498,24.0622,22.892,19.8781
2062.5,2.9811,7.9204,14.4864,8.8377,11.7742,11.8731,9.6821,24.4287,18.5138,15.5262,19.2274,14.2777,7.7579,11.9842,5.1691,16.0437,8.7066,3.1883,15.2615,11.7326,1.4947
2078.125,6.0088,9.3619,13.8446,10.7708,18.586,14.4126,16.399,15.2841,12.5438,8.999,34.2624,22.8594,28.8549,12.3009,6.9889,18.3597,29.4286,12.3236,8.4066,17.2932,3.7568
2093.75,6.2793,16.1693,8.9415,0.6581,23.2771,22.5429,7.21,16.2656,22.4775,3.4851,14.7886,1.0775,14.333,7.4113,9.93,18.488,15.1126,16.8045,11.2711,19.9096,4.531
2109.375,2.3233,10.2739,1.3192,6.3374,21.8048,4.7833,11.4572,25.8595,6.74,5.5456,11.2958,9.4166,14.4513,12.4775,14.0753,18.1097,16.3069,20.4751,3.6036,18.8843,11.7291
2125,5.9482,13.949,7.8565,15.8824,21.49,19.1125,12.4795,11.6682,5.1232,11.8991,20.0274,17.4769,22.3777,10.6089,17.55,12.2796,7.93,11.0164,4.4193,10.1646,6.0136
