Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav
1500,38.6099,40.5569,47.015,27.1299,37.0575,40.8687,38.8043,47.1967,27.1336,33.4589,42.0143,27.7548,45.3054,26.2053,46.862,39.8875,41.1976,33.1966,34.1511,34.2131,30.7686
1515.625,31.1023,25.9755,28.775,36.8182,47.491,37.3208,14.4057,37.5481,34.5344,42.2483,29.9707,42.9595,37.886,34.9477,28.497,34.1731,25.3013,30.3036,27.3564,30.7053,27.266
1531.25,25.6853,16.9949,22.0596,30.7647,32.0526,12.5574,46.8778,28.1215,31.7294,25.0531,22.6373,25.8823,20.4051,26.9819,19.4505,27.6956,25.4365,31.1019,22.7566,29.7399,27.2406
1546.875,8.5551,29.4916,30.2209,22.5265,27.0332,20.1228,17.4645,16.7879,23.8915,21.1827,20.8183,14.0447,31.1834,31.6399,18.9092,21.2319,31.5494,18.2853,28.6279,23.2991,29.5792
1562.5,18.9112,6.184,5.1558,10.6558,24.6569,7.7213,7.4173,15.7396,7.626,18.5193,13.5378,20.1099,19.2119,8.2515,20.1714,9.4116,9.5794,10.6776,22.3993,17.8843,13.7419
1578.125,2.2098,21.856,13.7422,12.1624,18.6118,17.9662,16.0032,17.6883,9.7583,4.1204,6.7656,10.397,14.5606,14.3313,10.6684,8.5076,17.698,23.0154,15.469,10.9461,14.0565
1593.75,8.9423,10.7025,5.039,4.7582,4.4927,14.9261,10.0424,8.392,8.6937,2.0418,10.479,8.8844,9.5605,1.7159,17.0975,4.4637,5.5342,9.7153,11.636,17.5341,13.0838
1609.375,6.221,6.9572,12.1764,8.1674,7.9657,19.5095,9.0842,5.9388,7.236,5.9577,7.1457,15.1753,10.4941,9.8077,9.5734,4.9762,10.3789,4.9411,14.8913,11.7398,11.5774
1625,20.4232,18.5038,18.6108,13.7137,20.555,11.619,16.7884,22.7474,4.7254,17.3943,18.6991,3.9626,15.1777,11.2737,13.8765,19.6743,8.4897,17.2435,20.457,20.3388,10.8249
1640.625,16.6747,4.1374,25.1623,26.9853,29.9189,10.4625,25.687,18.0873,26.3222,23.1245,6.9186,21.3573,18.7832,26.1027,17.0735,18.0188,22.1958,11.6412,4.8812,15.783,9.9295
1656.25,23.1367,22.4864,28.6477,15.3805,6.4627,32.5336,12.9137,27.8889,21.2391,27.1919,34.1891,25.8986,24.5493,18.7301,23.455,32.0758,16.4967,21.6594,21.262,23.0551,26.7297
1671.875,31.9995,12.9887,31.281,33.0386,27.1448,6.783,32.6041,22.8412,31.4217,35.9384,19.1152,31.8768,27.4536,11.1401,25.4545,22.991,10.7134,18.7384,13.3461,22.1374,22.4876
1687.5,30.9842,33.0292,31.7691,29.9535,29.8321,32.9333,34.5187,34.3247,39.2577,23.2758,37.4102,18.2846,39.6562,37.4019,20.3927,27.3321,30.8042,19.5662,21.0479,26.2152,15.0464
1703.125,41.0235,17.9642,40.4437,35.5393,15.3242,17.1298,43.8359,36.5309,31.8668,48.6297,38.7738,43.3025,32.7514,22.6155,37.0927,40.6609,20.2253,31.4856,27.5105,28.4367,25.4499
1718.75,33.7361,28.162,39.0159,41.8685,35.0321,41.989,32.3203,38.5444,36.8728,29.2508,40.2228,38.5786,33.2597,30.6285,29.7289,42.3874,34.4859,23.8928,26.8719,39.3714,25.9815
1734.375,50.3843,28.9546,45.2102,46.5514,23.0809,22.0531,28.441,44.3563,46.7111,40.1186,41.409,36.5795,44.4437,23.1328,35.6744,42.9135,27.7382,37.3028,31.8425,30.6114,35.3467
1750,39.8817,27.2421,42.0851,40.7358,48.7755,47.8147,49.946,43.4074,42.8672,57.4273,39.93,49.2458,48.9491,41.5054,33.1842,49.8917,36.3798,28.7283,31.2305,41.7557,32.197
1765.625,43.7678,38.1267,47.6359,45.1181,15.4755,32.4909,59.4271,50.9704,46.1729,38.0235,47.9725,54.7409,52.3804,24.6001,36.5431,50.5372,23.7717,36.8689,29.0675,31.7254,34.2543
1781.25,50.6351,32.4321,44.2008,45.9428,32.4824,39.6826,36.8498,43.482,45.2221,56.7709,45.7141,34.5122,41.1655,35.4766,40.0736,39.4825,37.8983,34.1033,25.3971,36.3483,37.6022
1796.875,43.9007,30.0709,56.4621,47.9013,41.6335,28.1671,49.1773,58.6712,44.2437,42.273,47.4547,53.3767,45.2037,46.0576,38.8582,53.767,34.1719,35.462,38.6154,48.8125,27.9746
1812.5,52.4034,35.3924,45.8087,53.9061,39.4977,38.839,57.7524,34.0266,54.5825,53.09,53.3931,44.5646,36.3255,23.4992,40.1135,45.9136,30.1771,30.8678,35.5689,30.8126,37.6869
1828.125,44.0976,44.4161,43.7351,49.0618,29.2238,32.5082,36.3217,54.686,41.45,43.3255,47.6862,50.8904,69.8922,39.7664,38.6399,51.7342,38.7628,36.4432,33.8439,37.0153,40.895
1843.75,51.5648,22.9227,52.0842,35.3046,33.1416,40.216,57.9031,49.5026,55.5588,46.3909,44.5206,43.7227,36.5019,31.6661,35.5868,44.499,30.24,29.5525,46.6094,46.1776,33.5122
1859.375,40.69,43.338,42.2569,59.1526,41.4537,31.6169,34.3117,45.6782,37.627,45.7106,41.4329,46.2381,52.8283,40.0603,36.9556,51.2092,35.8604,40.1464,30.149,26.2913,35.4997
1875,46.3742,21.0255,39.9449,31.9398,39.1847,28.7131,53.5048,34.2242,43.67,45.946,50.0642,43.5613,36.9054,22.8588,36.6734,32.2383,32.0584,25.6453,35.8677,40.6396,35.9657
1890.625,40.5051,37.5931,53.089,46.8177,39.4406,27.9179,35.3233,48.82,46.8832,38.6753,33.8004,44.3132,42.9413,38.3471,29.1973,48.3409,33.0717,40.1495,33.4187,39.287,27.9172
1906.25,39.9995,37.7644,27.0666,36.9403,34.6686,40.245,44.7848,37.9835,34.6383,40.5029,40.7043,39.4765,40.1328,32.8516,39.425,35.801,24.263,24.3892,35.9129,23.8258,35.0183
