Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav,REC21.wav,REC22.wav
6156.25,53.2878,150.9546,24.8153,86.7159,37.7651,145.8205,35.1603,16.0414,14.8119,46.2907,179.3386,45.8492,54.7894,47.1378,36.1727,16.5087,41.8643,100.0492,141.7928,33.1424,21.2405,39.2311
6171.875,34.5587,86.341,41.0457,53.2789,40.3631,151.0446,119.7414,64.0611,26.4536,32.9905,75.5814,41.4359,81.1434,41.5276,72.1284,12.7358,32.8724,78.9614,39.3146,42.4309,12.9523,39.8489
6187.5,46.7749,53.5714,13.9525,43.8742,38.048,52.4009,226.1483,32.8,17.2852,42.5078,34.7701,22.5846,33.8431,58.4998,47.0571,33.0025,52.9838,67.3534,92.1446,41.1639,24.3213,39.2142
6203.125,19.7361,101.4071,84.8567,61.2737,36.783,130.5003,82.4169,45.7497,19.2034,29.0684,68.5941,47.494,141.8626,36.8784,17.961,18.6581,26.4695,49.6207,177.7231,43.5308,20.4526,40.4554
6218.75,54.4571,45.2718,36.0599,6.3052,42.5396,50.8,37.2688,45.6048,32.6156,39.5216,91.184,42.9109,97.4824,67.1636,65.3528,33.1734,67.0603,38.2956,60.157,39.045,21.478,39.9517
6234.375,25.7488,108.8838,76.9962,3.1177,37.6173,5.5369,108.7846,44.158,18.3267,44.8325,127.2732,28.1395,40.4881,85.0217,29.6636,9.9826,38.3474,58.4164,116.8878,36.5891,23.301,36.5864
6250,49.7717,133.38,107.3717,59.7241,45.3415,71.8308,158.0653,57.1591,16.139,14.3339,132.5673,8.878,10.4001,54.4046,51.4512,49.1782,34.7786,15.468,136.3123,36.8977,8.5756,40.8529
6265.625,40.0135,84.532,80.7108,43.2271,39.5708,42.984,132.2502,30.4292,13.2804,52.4202,219.4454,19.5478,24.2971,75.6411,33.8064,43.7613,29.4596,67.9777,52.2457,37.6429,17.4779,38.1819
6281.25,44.562,51.2356,77.0264,51.9447,33.1142,45.13,70.38,49.8137,24.2659,50.7309,164.5605,64.822,20.886,67.8953,45.645,38.0387,45.3851,60.7122,38.5289,39.3741,23.2198,34.6497
6296.875,19.5513,74.2238,24.7745,56.7955,36.5274,100.0109,77.435,30.1287,28.277,30.0222,97.8277,50.8613,16.5186,66.6041,16.2019,49.5105,56.8272,54.7487,144.4438,36.1943,21.287,33.2413
6312.5,55.2995,88.9009,49.4092,17.5615,38.6024,83.0015,57.236,33.9779,8.5651,57.6888,82.619,28.7528,28.3436,59.6265,26.0746,15.154,32.3555,52.9553,147.5401,30.6833,13.1468,34.6138
6328.125,24.53,38.0265,81.5282,16.4204,34.2497,47.8933,129.9863,25.3727,7.0671,33.0907,30.1702,22.6534,6.1604,101.6272,55.1027,23.1853,43.9119,53.7623,192.2124,31.3547,27.8467,29.7458
6343.75,37.2304,111.4131,64.6061,23.9849,26.714,87.8581,57.279,36.6994,19.6791,29.9633,63.4095,41.2411,47.0204,44.4667,25.9353,28.9835,35.7134,42.2709,69.664,30.0989,17.5432,32.5539
6359.375,26.9981,161.2207,77.6895,25.6836,29.5495,64.9456,56.9958,39.6179,29.9157,44.0389,124.1008,39.1567,13.2114,53.7495,54.8686,29.4278,50.9084,31.2775,85.7145,31.7512,18.0563,24.4127
6375,21.3286,206.1205,38.9914,38.8972,21.4802,38.3109,79.5066,13.0857,9.034,30.5697,125.2362,21.4735,26.9457,20.7381,15.3961,33.0375,3.0829,42.7716,31.9539,31.4486,15.1145,27.1348
6390.625,18.0977,88.8319,48.2682,12.4204,27.6139,32.2965,134.9879,22.2862,7.9813,30.8207,22.5134,6.4386,14.6642,37.7663,18.7979,28.925,41.453,40.5662,123.9819,31.7855,30.2005,24.5969
6406.25,35.2505,178.5143,32.1864,44.9668,19.7122,51.2954,79.2107,31.4399,24.133,27.7987,86.5619,29.4231,22.6399,20.4606,31.0718,14.6083,23.591,41.6674,67.3648,30.1921,16.957,25.298
6421.875,11.2232,186.0881,17.1688,45.3393,13.7278,54.0692,41.897,31.091,19.3878,8.0442,82.4001,54.0714,44.4728,47.459,27.7369,2.9821,10.7425,40.799,75.5982,29.459,16.2841,21.7971
6437.5,33.965,161.9093,24.8291,41.3429,17.1168,83.4739,40.4078,23.3052,14.2776,21.0121,69.2017,20.6327,25.9455,39.6138,66.0436,41.5885,19.1677,44.8758,92.7025,31.5244,27.5172,21.2189
6453.125,12.797,299.0692,82.1476,37.1079,24.266,80.3391,41.0178,10.4125,18.0285,38.7329,133.7339,18.9634,33.3402,104.5585,6.9775,21.4384,20.617,70.241,79.5009,30.0058,24.1931,23.6765
6468.75,4.9107,267.1496,60.3616,31.3565,12.1453,120.5662,121.6186,26.4965,13.3852,25.4677,105.2314,3.4841,97.9733,75.3666,46.2329,27.2016,29.7705,12.0059,54.0926,29.1244,22.8653,24.2227
