Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav
1984.375,14.9208,16.3871,25.2594,21.204,31.0423,41.0772,38.5092,37.6106,22.1547,26.1248,25.1128,30.1652,29.8599,36.2081,25.616,29.0768,30.7692
2000,27.4911,27.4079,47.6013,40.0603,16.1029,12.8222,15.0555,28.0968,25.9059,25.0528,26.8507,17.596,24.6395,12.6784,25.6371,17.522,16.6258
2015.625,29.117,23.0731,5.3521,13.1182,28.075,23.7231,27.3244,25.2645,19.4379,15.3034,12.7689,26.0675,22.3033,27.6832,16.4266,30.6341,26.5123
2031.25,15.512,15.9469,42.675,42.9479,13.3272,19.1752,17.1547,15.0265,3.3757,47.4611,23.2633,13.0623,19.9666,23.3635,30.2541,27.9197,15.8954
2046.875,16.7704,15.0103,40.8565,14.5403,22.213,10.9815,10.5242,22.5389,27.477,11.8439,9.576,16.2888,20.2772,15.7694,18.4586,12.7007,12.3235
2062.5,21.9103,13.9839,27.7989,26.5647,19.1017,12.0904,16.9244,21.3392,14.3943,38.3328,14.1289,10.7715,22.2602,21.4324,18.4028,24.1557,1.6603
2078.125,22.0252,3.1718,26.9107,9.7654,17.1509,13.0288,6.7227,9.6898,25.2559,14.2624,1.5817,14.0061,13.6655,15.3413,13.1736,11.2619,12.1604
2093.75,23.0605,5.7061,8.9373,17.6882,14.2157,17.4904,6.6166,34.0684,10.1485,17.2542,3.7399,12.6823,14.7003,19.2458,24.0082,13.8795,7.334
2109.375,4.8804,13.517,28.2055,18.806,11.8971,7.8703,3.836,6.7079,20.4415,26.1734,9.4948,2.4518,17.5531,10.8847,11.5325,26.8892,7.4821
2125,19.3811,4.4874,14.7237,21.281,16.7404,9.2449,13.5014,14.217,10.4007,4.9932,5.8015,12.0023,20.0185,16.9794,14.6501,18.1086,11.2539
2140.625,13.2959,13.1935,16.2114,24.0558,11.9436,8.2227,4.7757,20.0317,3.7479,23.6028,8.4528,12.0226,18.5927,17.3667,21.2666,19.3268,10.2977
2156.25,21.0547,1.3145,15.9482,19.7146,15.2997,20.9918,25.6941,8.6382,19.4192,7.8705,6.049,9.2588,5.3048,18.6731,6.5624,18.2029,15.6936
2171.875,13.1194,15.2034,4.1044,32.5305,14.1606,5.4169,2.9136,25.3523,8.5936,19.8678,15.0632,19.4747,19.5458,5.7208,26.9064,9.6624,13.0131
2187.5,16.0426,12.7352,25.3877,12.5866,9.6332,22.7241,19.7241,14.0316,31.0036,10.9714,15.9154,13.6233,7.8845,12.7537,3.4924,17.6273,15.1429
2203.125,13.3623,20.3948,24.0296,39.423,17.1526,5.1477,9.544,5.1136,7.4662,10.061,15.8458,19.3944,16.2663,19.7233,10.7185,4.1819,16.978
2218.75,21.06,14.098,21.98,8.4152,9.5639,30.736,29.3944,30.1985,27.6327,15.7678,9.348,19.1925,11.7473,16.2419,17.4108,12.5982,24.2484
2234.375,20.2501,13.2647,19.1561,17.492,12.307,9.2435,14.2949,10.3122,25.2234,6.0088,32.3795,30.5846,8.3329,13.9826,11.0599,18.4507,15.7006
2250,15.5662,23.5226,8.0036,26.2194,14.0136,14.3841,16.8512,19.7441,19.66,11.5627,17.1013,14.0534,20.3795,12.8628,18.1645,10.3276,18.1231
2265.625,14.5455,30.3614,18.6142,12.8112,16.3582,26.7739,20.2454,18.0982,18.4075,14.1801,17.8991,14.787,3.3491,8.7964,9.7307,5.525,20.6626
2281.25,9.5314,17.4111,7.4005,11.8708,9.4731,13.607,26.7807,7.5807,21.7855,18.8184,18.3794,46.2513,26.2799,18.294,22.1379,23.4203,12.359
2296.875,17.9155,25.3615,17.0606,12.0156,16.508,22.5807,21.1441,12.2338,13.8254,3.8846,23.6117,7.4508,11.0263,13.9404,7.3772,11.8197,26.9542
2312.5,7.7967,9.4247,9.7144,29.7289,9.003,17.6226,13.7029,7.8349,14.8653,17.5533,14.7624,14.2119,16.3042,22.4037,4.0408,7.6438,10.0166
2328.125,15.6741,21.0442,9.4932,13.3286,15.6216,18.39,14.105,21.6562,14.5189,10.1087,20.8992,16.8272,6.6674,4.5441,25.4999,18.5572,28.5613
2343.75,13.4456,11.6766,24.6602,15.1769,6.8352,21.3534,23.2943,6.2999,22.0124,12.5381,21.3871,18.5529,3.5786,9.5128,6.3541,3.9035,11.8272
2359.375,10.9355,14.3649,6.2799,15.977,18.4071,6.7939,19.3481,7.9365,22.6398,19.8312,9.4586,13.516,18.3478,10.2582,19.5052,13.6415,9.5164
